Name,Price,Old,Discount,Stars_and_reviews
Harpic Harpic Toilet Cleaner: Pine 500ml,KSh 600, , , 
Foldable Kids Interactive Baby Walker - Blue,"KSh 3,549","KSh 4,000",11%,4.2 out of 5(20)
Binatone POP-212 Two Slice Auto Pop-up Toaster ? Black (1YR WRTY),"KSh 2,449","KSh 5,000",51%,4.6 out of 5(11)
Superfoam Morning Glory Heavy Duty  Quilted Mattress - Blue,"KSh 8,421 - KSh 16,842", , ,4.5 out of 5(29)
Solarmax 520 Watts Solar Panel,"KSh 14,999","KSh 28,497",47%,5 out of 5(2)
L'Oréal professionnel Vitamino 500ML Shampoo,"KSh 3,483", , ,4.5 out of 5(2)
Dr. Rashel Green Tea Revitalizing Eye Cream,KSh 600, , ,4.5 out of 5(6)
Nunix AK-300 - 2 In 1 Blender With Grinding Machine – 1.5L – Blue,"KSh 2,240", , ,3.3 out of 5(11)
Defacto Man Special Collection Straight Fit Denim Trousers - Blue,"KSh 1,809","KSh 4,523",60%,4 out of 5(4)
Red Berry RSF504 - Insulated Double Wall Vacuum Flask - 500ml - Pink.,KSh 660, , ,4.8 out of 5(4)
Defacto Man Slim Fit Knitted Short - Black,KSh 891,"KSh 2,226",60%,5 out of 5(4)
Mara Fuller's Earth Clay 100g,KSh 400,KSh 550,27%,4.5 out of 5(130)
Miniso Barbie Collection Eyebrow Tweezers Set,KSh 459, , ,5 out of 5(2)
Adidas Adilette Comfort Unisex,"KSh 4,629","KSh 8,417",45%,5 out of 5(7)
"LASA TV Stand Leg Table Top For 32-70"" TV","KSh 1,650","KSh 2,400",31%,5 out of 5(2)
Lifebuoy Germ Protection Bar Soap Lemon Fresh 3x175g (Buy 2 Get 1 Free),KSh 450, , ,4.3 out of 5(4)
Miniso Fruit Series Hydrating Facial Sheet Mask - Pomegranate (2pcs),KSh 176, , , 
Rashnik TV Wall Mount TV Stand For 40” – 80”,KSh 610, , ,4.7 out of 5(9)
Poshy Economy Saver Twins,KSh 82, , ,3 out of 5(2)
"Vitron HTC6588USWO, 65"" 4K Smart Frameless TV, Wi-Fi/Netflix, 1YR WRTY","KSh 65,220","KSh 99,999",35%,4.7 out of 5(12)
Revlon Super Lustrous Matte- 014 Sultry Samba,KSh 800,"KSh 1,479",46%,3.9 out of 5(28)
Miniso Waste Proof Perlage Pattern Cotton Pads  - 600 Count,KSh 599, , ,5 out of 5(3)
Nice & Lovely Nice & Lovely Glycerine Lotion 850ml,KSh 715, , ,3 out of 5(2)
Defacto Woman Traditional Regular Fit Crew Neck Knitted Short Sleeve T-Shirt - Ecru,KSh 622,"KSh 1,553",60%,4.5 out of 5(4)
Axe Body Spray For Men Black 150ml,KSh 499, , ,4.7 out of 5(15)
Rashnik 3 compartment Oval lunch box with spoon.,KSh 276, , ,5 out of 5(2)
UNCOVER HYDRATE AND PROTECT DUO,"KSh 4,997", , ,1.5 out of 5(2)
Nice & Lovely Nice & Lovely Cocoa Butter Lotion 400ml,KSh 365, , ,4 out of 5(5)
NIVEA MEN Med Deep Cleansing Gel 100ml,"KSh 1,089", , ,5 out of 5(1)
Adidas Galaxy 6 Shoes Men,"KSh 4,795","KSh 9,589",50%,4.6 out of 5(60)
"C Idea 9 Inches Android 12 Tablets WiFi 256GB SIM,1280 * 800,8000mAh Battery Tablet Red","KSh 10,000","KSh 18,625",46%, 
Maybelline SuperStay 30H Active Wear Foundation- 66 HAZELNUT,"KSh 2,400", , ,4.1 out of 5(87)
Mara Black Maca Powder - 100g,KSh 950,"KSh 1,150",17%,3.7 out of 5(17)
Sunlight Sunlight Scourer Lemon 500g,KSh 90, , , 
Velvex Cream Hand Wash Soap Tropical Collection 5 Litres,KSh 800, , ,4.8 out of 5(11)
Defacto Woman Coool Fitted Knitted Short Sleeve T-Shirt - White,KSh 604,"KSh 1,208",50%,4.8 out of 5(11)
Revlon ColorStay Makeup Combination/Oily Skin SPF15 30ml-Bronze,"KSh 1,700","KSh 3,273",48%,4.9 out of 5(13)
Miniso 24 Colors Modeling Clay ( Blue Refrigerator ),KSh 459, , ,4.3 out of 5(4)
Binatone CEJ-1706S Electric Jug Kettle - 1.7L - Black (1YR WRTY),"KSh 1,889","KSh 3,800",50%,4.3 out of 5(8)
Mara Gelatinised Maca Root Powder- 100G,"KSh 1,100","KSh 1,200",8%,4.3 out of 5(10)
LASA Adj Bathroom Corner Shelf Shower Caddy Floor To Ceiling,"KSh 2,650","KSh 3,900",32%,5 out of 5(2)
Superfoam Morning Glory High Density Quilted Mattress - Red Floral,"KSh 9,474 - KSh 14,737", , ,4.5 out of 5(11)
Miniso Scented Hand Wash  - Sandalwood,KSh 359, , ,5 out of 5(2)
Danny Home 1PC Potala Breakfast Art Mug (Dhmug-20e),KSh 480, , , 
L'Oréal Paris Revitalift Filler Replumping Night Cream,"KSh 3,350", , ,4.4 out of 5(10)
Red Berry RSF 1003 Insulated Double Wall Vacuum Bottle – 1L - Black,KSh 960, , ,5 out of 5(1)
Sunlight Lavender Sensations 1kg + Free 400g,KSh 450, , ,4.6 out of 5(7)
Superfoam Satin Stripped Bedsheets,"KSh 3,100 - KSh 4,050","KSh 4,050 - KSh 4,350",29%, 
Aworky Limited Portable & Foldable Baby Bassinet /net- Pink,KSh 899,"KSh 1,300",31%, 
Royco Turmeric Ground Spice 100g,KSh 155, , ,4.3 out of 5(4)
L'Oréal professionnel L&rsquo;Or&eacute;al Professionnel Curl Expression 10-in-1 Cream-in-Mousse  250ML,"KSh 3,152", , ,4.8 out of 5(4)
Mara Licorice Powder 100g,KSh 650,KSh 800,19%,4.3 out of 5(51)
Adidas Runfalcon 3.0 W Women's Running Shoes,"KSh 5,130","KSh 10,260",50%,5 out of 5(8)
Dr. Rashel Aloe Vera(Collagen+Vitamin E) Face Serum - 50ml,KSh 650,KSh 800,19%,4.9 out of 5(14)
Rosy Fresh Flowers Liquid Hand Wash 330ml With Pump,KSh 84,KSh 120,30%,4.1 out of 5(11)
Nunix 3 Tier Wooden Kitchen Rack- Cream,"KSh 1,979","KSh 1,980",1%,5 out of 5(1)
UR Fashion 19-Inch High Quality Multifunctional Large Capacity Business College School Travel Laptop Backpack - Grey,"KSh 2,299", , ,3 out of 5(1)
Nice & Lovely Nice & Lovely For Men Energise & Hydrate Body Lotion 400ml,KSh 295,KSh 365,19%,4.7 out of 5(17)
Maybelline New York Hydrating Lifter Gloss Gummy Bear Shade,"KSh 2,000", , ,3 out of 5(4)
Defacto Woman Coool Fitted Knitted Short Sleeve T-Shirt - Blue,KSh 604,"KSh 1,208",50%,4.7 out of 5(15)
L'Oréal Paris Infallible 24H More Than Concealer 338 Honey,"KSh 1,435","KSh 2,050",30%,3.7 out of 5(3)
Fay Fay Aluminum Foil 30cm*5m,KSh 112,KSh 113,1%,4.7 out of 5(7)
Defacto Girl Casual Flare Fit Denim Trousers - Blue,"KSh 1,379","KSh 3,446",60%,4.7 out of 5(3)
Vitron V837 3.1 Inch Bluetooth Speaker System,"KSh 7,890","KSh 9,000",12%, 
Rashnik RN-8022 Solar Light 25w,"KSh 2,300", , ,4.8 out of 5(5)
L'Oréal professionnel Loreal Professionnel Curl Expression Intense Moisturizing  Cleansing Shampoo 300ML,"KSh 2,488", , ,5 out of 5(5)
Solarmax 400watts Solar Fullkit,"KSh 37,550","KSh 70,400",47%,3 out of 5(1)
Miniso Professional Double-Sided Earpick Ear Cleaner Canal Cleaner,KSh 259, , ,4.9 out of 5(8)
Defacto Woman Casual Wallet - Karma,KSh 764,"KSh 1,527",50%,4.6 out of 5(8)
Adidas Vultrun M Men Shoes,"KSh 4,168","KSh 12,800",67%,5 out of 5(4)
GORDON'S Gordon'S Dry Gin - 750cl,"KSh 2,099","KSh 2,400",13%,4.7 out of 5(20)
Jik Jik Bleach Regular 250ml,KSh 170, , ,5 out of 5(1)
Valon Valon Lotion Glycerine 400ml,KSh 225, , ,3 out of 5(2)
"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Amber","KSh 2,000", , ,4.6 out of 5(56)
Adidas Zenith M Men,"KSh 2,183","KSh 6,144",64%,5 out of 5(4)
LASA Usb C To Usb A Cable Fast Charging Cable 3a - 15cm,KSh 350,KSh 560,38%,5 out of 5(1)
Ramtons RM/349 - Cordless Kettle 1.7 LTS-White & Green. (1YR WRTY),"KSh 2,100", , ,4.4 out of 5(171)
Adidas Tensaur Run Shoes Unisex,"KSh 3,105","KSh 6,509",52%,4.8 out of 5(20)
Huggies Dry Comfort Diaper 60s Size 4,"KSh 2,098","KSh 2,099",1%,4.6 out of 5(82)
Adidas Tensaur Sport 2.0 CF Infant Hook And Loop Shoes,"KSh 2,554","KSh 5,108",50%,5 out of 5(2)
Dove Deeply Nourishing Body Wash – 500ml,"KSh 1,114","KSh 1,115",1%, 
SIMI S300P Feature Phone 1.77inch Dual SIM Card 1050mAh,"KSh 1,399","KSh 1,499",7%,4 out of 5(24)
LASA CAT6A Ethernet Cable,KSh 350,KSh 695,50%,3.7 out of 5(3)
Adidas Zenith M Men Flip-flops,"KSh 2,183","KSh 6,144",64%,2.5 out of 5(2)
Mara Ayurvedic Shampoo Bar- 100g,KSh 400, , ,4.6 out of 5(64)
Maybelline Superstay Matte Ink Liquid Lipstick - 65 Seductress,"KSh 2,400", , ,4 out of 5(55)
Adidas Kids Unisex Big Logo Essentials Cotton Hoodie,"KSh 3,474","KSh 6,947",50%,5 out of 5(1)
Defacto Woman Standart Fit Knitted Short - Green,KSh 669,"KSh 1,673",60%,5 out of 5(1)
Mara Fennel Seeds 200g,KSh 550, , ,4.3 out of 5(20)
Defacto Boy Casual Regular Fit Crew Neck Knitted Short Sleeve T-Shirt - Anthracite,KSh 533,"KSh 1,331",60%,4.9 out of 5(9)
Dr. Rashel Vitamin C Brightening & Hydrating Hand & Foot Cream,KSh 580,KSh 900,36%,4.3 out of 5(6)
Baby Care Grooming Kit,KSh 619,KSh 900,31%,3.5 out of 5(6)
"Euroken New KOLAV-A51 5"" X 2 active rechargeable portable speaker","KSh 2,849","KSh 3,599",21%, 
Adidas Runfalcon 3.0 El K Kids Top Strap Shoes,"KSh 3,443","KSh 6,885",50%,5 out of 5(1)
BJS DARK-BROWN 60x60 3+1 Electric/Gas Cooker - W/ Turbo Fan - Oven 60L Capacity,"KSh 42,999", , ,4.5 out of 5(2)
Vaseline Petroleum Jelly Men Fresh- 240ml,KSh 350, , ,4.7 out of 5(12)
Revlon ColorStay Makeup Combination/Oily Skin SPF15 30ml-Medium Beige,"KSh 1,700","KSh 3,273",48%,4.7 out of 5(3)
Sunlight Spring Sensations 1kg + Free 400g,KSh 450, , ,4.5 out of 5(12)
Adidas Streetahead M Men Shoes,"KSh 4,609","KSh 14,208",68%,5 out of 5(2)
Nice & Lovely Honey And Marula Styling Gel 295g,KSh 370, , ,3.9 out of 5(12)
Velvex Premium Kitchen Towel White Twin Pack,KSh 385, , ,4.5 out of 5(93)
Defacto Woman Young Fitted Crew Neck Knitted Short Sleeve T-Shirt - Bordeaux,KSh 646,"KSh 1,292",50%,4.9 out of 5(16)
LASA Clothes Drying Rack Foldable Laundry Stand,"KSh 7,950","KSh 10,750",26%,5 out of 5(3)
Soko Nutrigo Whole Grain Maize Meal 2Kg,KSh 149,KSh 229,35%,4.4 out of 5(76)
Bisutang Green Tea Extract Purifying Korean Facial Sheet Mask,KSh 125 - KSh 650,"KSh 250 - KSh 1,050",50%,4.2 out of 5(33)
Boma AIR FRYER BM-209,"KSh 6,875", , ,3.5 out of 5(4)
Closeup Toothpaste Deep Action Menthol and Red Hot - 125g Value Pack,KSh 360, , ,5 out of 5(1)
Maybelline Volume Express Colossal Big Shot Mascara - Black,"KSh 1,625", , ,4.3 out of 5(26)
Mizani Strength Fusion Intense Night Time Treatment 150ml,"KSh 3,815", , ,4.6 out of 5(13)
Go Turkey SQUARED GOLDEN  TRAY,KSh 650,"KSh 1,000",35%, 
Defacto Woman Traditional Wide Leg Woven Trousers - Black,"KSh 1,208","KSh 3,018",60%,4 out of 5(1)
"VON AIR FRYER VAF065MCK 6.5L,MANUAL,BLACK (1YR WRTY)","KSh 7,099","KSh 10,995",35%, 
Bonnie STERILISED CHICKEN FOOD – CHICKEN 0.5KG,KSh 793, , , 
Mizani 25 Miracle Nourishing Oil,"KSh 5,972", , ,4.9 out of 5(8)
Sunlight Lavender Hand Washing Powder 3.5kg,"KSh 1,200", , ,4.8 out of 5(6)
Tanqueray Tanqueray London Dry Gin - 750ml,"KSh 2,399","KSh 2,900",17%,4.5 out of 5(17)
Nunix HD02 Fashion Hair Dryer,"KSh 1,183", , ,3 out of 5(1)
Joerex Table Tennis Ball (pkt Of 6),KSh 500, , ,4.5 out of 5(8)
Adidas Tensaur Sport 2.0 CF Infant Hook And Loop Shoes,"KSh 2,554","KSh 5,108",50%,4.5 out of 5(2)
Vitron BD-555 Hot And Cold Water Dispenser - White,"KSh 10,120","KSh 11,000",8%,4 out of 5(6)
EDENBERG 7 Pc Knife Set With Stainless Steel Stand And Blades (Eb-11027 Red),"KSh 1,680", , ,5 out of 5(2)
Miniso Sewing Box Tailor Box Sewing Kit Sewing Case (Mint Green).,KSh 359, , ,4.9 out of 5(11)
Miniso Precise Eyebrow Pencil 02 Dark Brown,KSh 759, , ,4.7 out of 5(3)
Defacto Woman Casual Oversize Fit Woven Long Sleeve Shirt - Brown,"KSh 1,121","KSh 2,803",60%,5 out of 5(6)
Dettol Dettol Jump Liquid Handwash Skincare 400ml,KSh 750, , , 
Gld G2303 5.1 Channel TallBoy Multimedia Speaker System 150W - Black,"KSh 19,444","KSh 30,000",35%,4.7 out of 5(3)
"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Silk","KSh 2,000", , ,4.4 out of 5(39)
"Dettol Dettol Bathing Soap Cool, 60g",KSh 70, , ,4 out of 5(3)
Defacto Woman Traditional Loose Fit Crew Neck Woven Short Sleeve Blouse - Navy,KSh 888,"KSh 2,220",60%,5 out of 5(3)
Superfoam Morning Glory Heavy Duty Quilted Mattress,"KSh 6,316 - KSh 22,105", , ,1 out of 5(1)
L'Oréal professionnel L&rsquo;Or&eacute;al Professionnel - Absolut Repair Shampoo 500ml,"KSh 3,483", , ,3.8 out of 5(4)
"Vision Plus Beat Box 2 - Black, (1YR WRTY)","KSh 9,499","KSh 15,000",37%,5 out of 5(1)
Rashnik Rn-1145 Stainless Steel 5.7 Liters Electric Kettle,"KSh 2,912", , ,5 out of 5(1)
Olmeca Olmeca Tequila Gold - 700ml,"KSh 2,399","KSh 2,948",19%, 
Dr. Rashel Vitamin C Brightening & Anti-Aging Eye Serum - 30ml,KSh 600,KSh 900,33%,4 out of 5(3)
LASA 3 FOLDING STEP ALUMINUM STOOL WITH STEEL FRAME,"KSh 5,450","KSh 7,950",31%,4.8 out of 5(5)
"USN Fast Grow Anabolic, 1kg (2.2 Lbs) - Vanilla","KSh 3,000", , ,4.1 out of 5(59)
Maybelline Fit Me Matte And Poreless Foundation 30 Ml -  340 CAPPUCCINO,"KSh 1,790", , ,4.4 out of 5(74)
LASA 3 Cube Shoe Cabinet Shelving Storage,"KSh 3,350","KSh 5,950",44%,1 out of 5(1)
Nunix Nunix Professional Hair Blow Dryer 2400W,"KSh 1,724","KSh 1,725",1%,3.4 out of 5(7)
Revlon Ultra HD Matte Mousse Lip Color- 845 Rocky Plum,"KSh 1,250","KSh 2,481",50%,3.8 out of 5(17)
Nunix 20l Digital microwave with grill,"KSh 9,570", , ,4.2 out of 5(5)
LASA 8-Drawer Storage - Black,"KSh 8,150","KSh 11,050",26%, 
UR Fashion 18-Inch Multifunctional Large Capacity Business College School Travel Laptop Backpack - Black,"KSh 1,459", , ,3.8 out of 5(4)
Nice & Lovely Curl Activator Gel 300g,KSh 445, , ,5 out of 5(6)
Ramtons RM/672 - 20lt Manual Microwave - Black (1YR WRTY),"KSh 10,160","KSh 10,900",7%,4.7 out of 5(3)
Maybelline Fit Me Matte And Poreless Foundation 30 Ml - 357 Spiced,"KSh 1,700", , ,4.7 out of 5(35)
Sundabest 6 PCS White With Decor Ceramic Dinner Plates (11952),KSh 920, , , 
Defacto Woman Casual Regular Fit Woven Long Sleeve Shirt - Black,"KSh 1,293","KSh 2,587",50%,5 out of 5(4)
Rosy Hand Sanitizer With Pump - 500ml Ocean Fresh,KSh 335, , ,5 out of 5(4)
BJS SILVER (INOX) 60x60 3+1 Electric/Gas Cooker - W/ Turbo Fan - Oven 60L Capacity,"KSh 36,999","KSh 42,999",14%,5 out of 5(1)
Sundabest 1.8ltrs Serving High Quality Jug (11590),KSh 480, , ,4 out of 5(1)
Pepsodent Triple Protection Herbal Toothpaste - Value Pack,KSh 355, , ,4.5 out of 5(10)
Qik Dri Eco-Friendly Hand Paper Towel 240 Sheets,KSh 365, , ,4.7 out of 5(20)
Maybelline Fit Me Matte And Poreless Foundation- 352 TRUFFLE,"KSh 1,790", , ,4.2 out of 5(106)
Rosy Printed Serviettes 100 Sheets,KSh 120, , ,4.3 out of 5(166)
Miniso Encounter Series Reed Diffuser Peach 28mL,KSh 459, , ,4 out of 5(4)
Sunlight Strawberry Dishwashing Liquid 750ml,KSh 295, , ,5 out of 5(1)
"NIVEA Full Bloom Pack - Waterlily Shower Gel-250ml, Pearl & Beauty RollOn-50ml","KSh 1,102","KSh 1,160",5%,4.7 out of 5(122)
Bombay Bombay Sapphire Gin (Bramble) - 750ml,"KSh 2,999","KSh 4,275",30%,4.6 out of 5(8)
Defacto 2 Piece BabyBoy Casual Regular Fit Bike Neck Short Sleeve Pyjamas - Green,KSh 948,"KSh 2,369",60%,5 out of 5(3)
Velvex White Standard Serviettes 100 Sheets,KSh 140, , ,4.6 out of 5(144)
Haier HWM80-1269S6 8KG Top Load Washing Machine,"KSh 42,695", , ,4.4 out of 5(8)
Velvex Window & Glass Cleaner Lemon Fresh 530ml,KSh 152,KSh 190,20%,5 out of 5(2)
Joerex Iron Darts With Nickel Plating,KSh 500, , ,2.5 out of 5(4)
Maybelline SuperStay 30H Active Wear Foundation- 56 TOFFEE,"KSh 2,299","KSh 2,400",4%,4.3 out of 5(43)
Vitron VNR269DS 269 Liters Double Door Fridge - Silver Hairline (1YR WRTY),"KSh 55,500","KSh 65,999",16%,3.7 out of 5(3)
Rashnik Kitchen set with scissors,KSh 383,KSh 384,1%,3.7 out of 5(3)
DAYA Adjustable Cycling/Skating Helmet,"KSh 1,200", , ,3.8 out of 5(9)
Rosy Cream Hand Wash Soap Mixed Berries 500ml With Pump,KSh 170, , ,4.6 out of 5(13)
LASA ROLLING EXTENDABLE CLOTHING RACK - BLACK,"KSh 4,050","KSh 5,950",32%,5 out of 5(1)
Bio-Oil Bio-oil Skincare Oil Natural 125ml,"KSh 1,534","KSh 1,535",1%,4.4 out of 5(9)
Rosy Liquid Hand Wash Soap Lemon Fresh 500ml With Pump,KSh 155, , ,4.5 out of 5(17)
Dove Baby Head to Toe Wash Rich Moisture 400ml,"KSh 1,169","KSh 1,170",1%, 
Nice & Lovely Body Milk Lotion 600Ml,KSh 445, , ,5 out of 5(14)
Valon Valon Petroleum Jelly Pure 250ml,KSh 304, , , 
Dr. Rashel AHA-BHA Renewal Rejuvenating Cream,KSh 800,"KSh 1,000",20%,5 out of 5(1)
Toilex Toilet Paper Printed Pink 4s Unwrapped,KSh 150,KSh 176,15%,4.1 out of 5(10)
Joerex Ankle Support Knitting,KSh 600, , ,4 out of 5(11)
Red Berry RSF 1001 Insulated Double Wall Vacuum Bottle – 1L - Black,"KSh 1,020", , , 
Red Berry RSF1001 - Insulated Double Wall Vacuum Flask - 1L - Blue.,"KSh 1,020", , , 
Valon Valon Lotion Body Milk 400ml,KSh 255, , ,5 out of 5(3)
Dettol Soap Original 90gx3 3's on 90 Save 50,KSh 430, , , 
Dr. Rashel Complete Facial Serum Set(3Pack),"KSh 2,000","KSh 3,000",33%,5 out of 5(4)
LASA TV Stand TV Cabinet With Open Storage Shelving,"KSh 13,250","KSh 17,950",26%,5 out of 5(1)
Bombay Bombay Sapphire Gin 750ml,"KSh 2,799","KSh 3,640",23%,5 out of 5(7)
Maybelline Fit Me Matte And Poreless Foundation 30ml - 358 LATTE,"KSh 1,700", , ,4.2 out of 5(125)
Bonnie ADULT CAT FOOD COCKTAIL 1.5KG,"KSh 2,116", , ,5 out of 5(2)
Adidas GlideEase W WOMEN,"KSh 7,314", , ,5 out of 5(3)
UNCOVER Rooibos Glow Toner,"KSh 2,150", , ,3.7 out of 5(3)
Green World Japanese Cherry Blossom Odour Absorber,KSh 600, , ,1.5 out of 5(2)
Health Moulded Youth Training/Playing Football Boots,"KSh 3,200", , ,1.5 out of 5(2)
L.A Girl Nail Treatment - Diamond Top Coat,KSh 650, , , 
"BOMGE Wireless Handheld Microphone,Metal Dual UHF Cordless Dynamic","KSh 2,900","KSh 4,308",33%,5 out of 5(1)
Harpic Harpic Itc Blocks - Blue Singles 500ml,KSh 260, , ,5 out of 5(2)
Catpapa Baby Girls Polkadot Print Jumpsuit White Sleeveless Romper,KSh 878,"KSh 1,463",40%,4.6 out of 5(29)
Solarmax Panel Solar FULLKIT SYTEM 300 WATTS(MONO),"KSh 26,500","KSh 40,000",34%,3.1 out of 5(7)
Rashnik Plastic Top Cutlery Scissors and Scissors Set with Top Quality Plastic Multi-Color,KSh 419,KSh 420,1%,5 out of 5(1)
Aworky Limited Plastic Cloth Storage Organization,"KSh 4,499","KSh 8,500",47%,4.8 out of 5(4)
Adidas Run 60s 3.0 Women Lifestyle Running Shoes,"KSh 5,128","KSh 10,255",50%,5 out of 5(3)
Rexona Active Dry Antiperspirant Deodorant Roll On - 50ml,KSh 395, , ,4.6 out of 5(13)
Valon Valon Petroleum Jelly Perfumed 250ml,KSh 304, , ,5 out of 5(1)
"C Idea Adult 7 Inch Portable Tablet,Android 12 Tablet PC With SIM Card Slot  Green)","KSh 8,999","KSh 12,000",25%,1 out of 5(1)
"Binatone CEJ-1730, High Speed Auto-Stop Electric Jug Kettle, 1.7L ? White (1YR WRTY)","KSh 1,979","KSh 4,000",51%,5 out of 5(3)
Ramtons RW/154- 7KG Front Load Washing Machine (1YR WRTY),"KSh 58,899","KSh 60,900",3%,4.2 out of 5(9)
Rosy Liquid Hand Wash Soap Summer Fresh 500ml With Pump,KSh 155, , ,5 out of 5(5)
Aworky Limited Carpet Floor Mat 80x150,"KSh 1,999","KSh 2,500",20%,4.3 out of 5(4)
Fay Kitchen towel Eco twin pack,KSh 219,KSh 220,1%,3.5 out of 5(6)
Miniso Sports - Weight Series Sand Filling Wrist Weight 1LB,KSh 859, , , 
Rashnik Yellow 3 layer cartoon themes food flask (RN-1455YELLOW),KSh 900, , ,5 out of 5(1)
LASA 5-Drawer Storage - Rustic Brown,"KSh 7,550","KSh 9,965",24%,5 out of 5(1)
"U&I QC & PD High Quality Fast Charger, 25w","KSh 1,464", , ,5 out of 5(3)
LASA Adj Parallel Body Press Bar Stand - 130kg Safe,"KSh 6,450","KSh 9,950",35%,5 out of 5(1)
Adidas Men's Essentials Single Jersey Big Logo Tee,"KSh 2,554","KSh 5,108",50%, 
Fay Cling Film Wrap 30cm*30mtr,KSh 142,KSh 143,1%,4.8 out of 5(8)
Red Berry RSF810 Insulated Double Wall Vacuum Bottle – 700ml - Silver,KSh 792, , ,5 out of 5(2)
Velvex White Ready Folded Serviettes,KSh 112,KSh 140,20%,4.6 out of 5(8)
Defacto Woman Coool Loose Fit Knitted Short Sleeve T-Shirt - White,KSh 533,"KSh 1,331",60%,4.1 out of 5(7)
Adidas Runfalcon 3.0 El K Kids,"KSh 3,657","KSh 7,314",50%,5 out of 5(2)
Danny Home 1PC Bahamas Breakfast Mug (Dhmug-22e),KSh 480, , ,5 out of 5(1)
Sundabest 6 PCS White Square With Decor Ceramic Dinner Plates (11993),"KSh 1,200", , ,5 out of 5(2)
Red Berry RSF 1003 Insulated Double Wall Vacuum Bottle – 1L - Green,KSh 960, , ,3.3 out of 5(4)
Sundabest 58 Piece White Plain Dinner Set (0192),"KSh 5,880", , ,5 out of 5(1)
Sundabest 58 Pieces White With Floral Dinner Set (6749),"KSh 5,880", , , 
Defacto Boy Casual Oversize Fit Crew Neck Knitted Short Sleeve T-Shirt - White,KSh 548,"KSh 1,371",60%,5 out of 5(9)
Dettol Dettol Bathing Soap Skincare 90g,KSh 300, , ,5 out of 5(1)
L'Oréal Paris Cell Renewal Midnight Face Serum 30ml,"KSh 3,500", , ,4.5 out of 5(13)
Revlon ColorStay Brow Pencil - Dark Brown,"KSh 1,500","KSh 2,710",45%,4 out of 5(9)
LASA Collapsible Folding Outdoor Utility Wagon,"KSh 13,150","KSh 19,465",32%, 
Ramtons RM/594-Corded Electric Kettle 1.7 Ltrs- Black (1YR WRTY),"KSh 2,320", , ,4.3 out of 5(45)
Revlon Ultra HD Vinyl Lip Polish- 930 Violet Frenzy,"KSh 1,250","KSh 2,481",50%,4.6 out of 5(9)
"VON VES3005FS Subwoofer 5.1CH, Bluetooth,USB - 300W (1YR WRTY)","KSh 29,995", , ,4.6 out of 5(29)
Gold Touch Vitamin C Serum – 30ml,"KSh 1,075", , ,4.2 out of 5(22)
Adidas Duramo SL Men Shoes,"KSh 7,182","KSh 10,260",30%,4.9 out of 5(8)
Adidas Widewalk M Men Running Shoes,"KSh 3,290","KSh 10,112",67%,5 out of 5(2)
Sun King Home120 Solar Light With Radio,"KSh 15,950", , ,4.4 out of 5(34)
Vaseline MEN Fast Absorbing Lotion 400ml + FREE 100ml Petroleum Jelly,KSh 550, , ,4.8 out of 5(5)
Mara Chia Seeds 250g,KSh 400,KSh 500,20%,4.2 out of 5(5)
Danny Home Burgundy Wine Handmade Crystal Glass Set Of 2 (Cry-03),"KSh 1,440", , ,1 out of 5(1)
LASA 8 Tier Shoe Rack - Black,"KSh 7,950","KSh 10,650",25%,4 out of 5(3)
Mara  Rose Water (Organic) -125ml,KSh 650,KSh 800,19%,5 out of 5(2)
Defacto Woman Traditional Regular Fit C Neck Woven Short Sleeve Shirt - Ecru,KSh 835,"KSh 2,089",60%,4.8 out of 5(6)
NIVEA MEN Energy Shower Gel - 250 Ml,KSh 540, , ,4.8 out of 5(9)
Maybelline Superstay Vinyl Ink 40 Witty,"KSh 1,817","KSh 2,795",35%,4.3 out of 5(12)
Velvex Toilet Paper Printed Pink 10s Unwrapped,KSh 476,KSh 595,20%,4.1 out of 5(14)
Miniso Kids' Clothes Hanger With Hook 10pcs(Pink),KSh 309, , ,4 out of 5(3)
Ramtons RM/561- HOT & NORMAL FREE STANDING WATER DISPENSER (1YR WRTY),"KSh 11,200", , ,3.8 out of 5(4)
Carlton Shuttle Cock T800 Medium (Tin Of 6),"KSh 2,000", , ,3.7 out of 5(3)
Green World Odour Absorber Pet  Air Freshner 300Ml,KSh 600, , ,5 out of 5(2)
Aworky Limited Table Mat 4pcsGreen Leaf,KSh 549,KSh 999,45%, 
Go Turkey Grey Storage Organizer Box,"KSh 1,398","KSh 2,957",53%, 
Nunix AK-200 – 2 In 1 Blender With Grinding Machine -1.5L – 350W – Black,"KSh 2,240", , ,4 out of 5(21)
"Ramtons RM/541 - 3-IN-1 Juicer, Blender & Grinder- Black (1YR WRTY)","KSh 9,300", , ,4.4 out of 5(25)
EDENBERG Set Of 6 Large Sauce Pans With Marble Coating( Eb-8152),"KSh 13,560", , , 
EDENBERG Eb9209 High Quality Cast Iron Manual Hand Corn Grinder,"KSh 1,680", , , 
Defacto Woman Coool Oversize Fit Knitted Short Sleeve T-Shirt - Black,KSh 649,"KSh 1,621",60%,4.7 out of 5(3)
Dr. Rashel Bamboo Charcoal Black Peel-Off Mask - 120ml - Black & White,KSh 800, , ,4.3 out of 5(3)
